"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDPHRWKD","TOT","IDX2015","A","2000",86.186764,
"CAN","GDPHRWKD","TOT","IDX2015","A","2001",87.572439,
"CAN","GDPHRWKD","TOT","IDX2015","A","2002",88.987232,
"CAN","GDPHRWKD","TOT","IDX2015","A","2003",89.183207,
"CAN","GDPHRWKD","TOT","IDX2015","A","2004",89.922776,
"CAN","GDPHRWKD","TOT","IDX2015","A","2005",91.911128,
"CAN","GDPHRWKD","TOT","IDX2015","A","2006",92.991506,
"CAN","GDPHRWKD","TOT","IDX2015","A","2007",93.107282,
"CAN","GDPHRWKD","TOT","IDX2015","A","2008",92.828031,
"CAN","GDPHRWKD","TOT","IDX2015","A","2009",93.254535,
"CAN","GDPHRWKD","TOT","IDX2015","A","2010",94.282164,
"CAN","GDPHRWKD","TOT","IDX2015","A","2011",95.794091,
"CAN","GDPHRWKD","TOT","IDX2015","A","2012",96.094296,
"CAN","GDPHRWKD","TOT","IDX2015","A","2013",97.521904,
"CAN","GDPHRWKD","TOT","IDX2015","A","2014",100.16543,
"CAN","GDPHRWKD","TOT","IDX2015","A","2015",100,
"CAN","GDPHRWKD","TOT","IDX2015","A","2016",100.358172,
"CAN","GDPHRWKD","TOT","IDX2015","A","2017",101.958414,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",101.996538,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",102.848075,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.772065,
"CAN","GDPHRWKD","TOT","IDX2015","A","2021",104.465477,
"FRA","GDPHRWKD","TOT","IDX2015","A","2000",87.525502,
"FRA","GDPHRWKD","TOT","IDX2015","A","2001",89.163111,
"FRA","GDPHRWKD","TOT","IDX2015","A","2002",91.766179,
"FRA","GDPHRWKD","TOT","IDX2015","A","2003",92.289942,
"FRA","GDPHRWKD","TOT","IDX2015","A","2004",93.309866,
"FRA","GDPHRWKD","TOT","IDX2015","A","2005",94.138072,
"FRA","GDPHRWKD","TOT","IDX2015","A","2006",96.481781,
"FRA","GDPHRWKD","TOT","IDX2015","A","2007",96.0296,
"FRA","GDPHRWKD","TOT","IDX2015","A","2008",95.416924,
"FRA","GDPHRWKD","TOT","IDX2015","A","2009",94.440997,
"FRA","GDPHRWKD","TOT","IDX2015","A","2010",95.663522,
"FRA","GDPHRWKD","TOT","IDX2015","A","2011",96.621402,
"FRA","GDPHRWKD","TOT","IDX2015","A","2012",96.937089,
"FRA","GDPHRWKD","TOT","IDX2015","A","2013",98.249867,
"FRA","GDPHRWKD","TOT","IDX2015","A","2014",99.195227,
"FRA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"FRA","GDPHRWKD","TOT","IDX2015","A","2016",100.279427,
"FRA","GDPHRWKD","TOT","IDX2015","A","2017",102.395091,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.736551,
"FRA","GDPHRWKD","TOT","IDX2015","A","2021",102.187438,
"DEU","GDPHRWKD","TOT","IDX2015","A","2000",87.068634,
"DEU","GDPHRWKD","TOT","IDX2015","A","2001",89.255258,
"DEU","GDPHRWKD","TOT","IDX2015","A","2002",90.082726,
"DEU","GDPHRWKD","TOT","IDX2015","A","2003",90.775624,
"DEU","GDPHRWKD","TOT","IDX2015","A","2004",91.602335,
"DEU","GDPHRWKD","TOT","IDX2015","A","2005",93.047959,
"DEU","GDPHRWKD","TOT","IDX2015","A","2006",94.536022,
"DEU","GDPHRWKD","TOT","IDX2015","A","2007",95.652946,
"DEU","GDPHRWKD","TOT","IDX2015","A","2008",95.677826,
"DEU","GDPHRWKD","TOT","IDX2015","A","2009",92.797837,
"DEU","GDPHRWKD","TOT","IDX2015","A","2010",94.936987,
"DEU","GDPHRWKD","TOT","IDX2015","A","2011",97.40629,
"DEU","GDPHRWKD","TOT","IDX2015","A","2012",98.007256,
"DEU","GDPHRWKD","TOT","IDX2015","A","2013",98.472527,
"DEU","GDPHRWKD","TOT","IDX2015","A","2014",99.49312,
"DEU","GDPHRWKD","TOT","IDX2015","A","2015",100,
"DEU","GDPHRWKD","TOT","IDX2015","A","2016",101.355337,
"DEU","GDPHRWKD","TOT","IDX2015","A","2017",103.162111,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.375684,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",104.162791,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",105.18509,
"DEU","GDPHRWKD","TOT","IDX2015","A","2021",106.100411,
"ITA","GDPHRWKD","TOT","IDX2015","A","2000",99.118059,
"ITA","GDPHRWKD","TOT","IDX2015","A","2001",99.78275,
"ITA","GDPHRWKD","TOT","IDX2015","A","2002",99.00028,
"ITA","GDPHRWKD","TOT","IDX2015","A","2003",98.298734,
"ITA","GDPHRWKD","TOT","IDX2015","A","2004",99.123067,
"ITA","GDPHRWKD","TOT","IDX2015","A","2005",99.565938,
"ITA","GDPHRWKD","TOT","IDX2015","A","2006",99.346739,
"ITA","GDPHRWKD","TOT","IDX2015","A","2007",99.271227,
"ITA","GDPHRWKD","TOT","IDX2015","A","2008",98.70518,
"ITA","GDPHRWKD","TOT","IDX2015","A","2009",96.73892,
"ITA","GDPHRWKD","TOT","IDX2015","A","2010",98.938252,
"ITA","GDPHRWKD","TOT","IDX2015","A","2011",99.606174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2012",99.073743,
"ITA","GDPHRWKD","TOT","IDX2015","A","2013",99.86123,
"ITA","GDPHRWKD","TOT","IDX2015","A","2014",99.940667,
"ITA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"ITA","GDPHRWKD","TOT","IDX2015","A","2016",99.692606,
"ITA","GDPHRWKD","TOT","IDX2015","A","2017",100.335718,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.323292,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.82174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",103.876571,
"ITA","GDPHRWKD","TOT","IDX2015","A","2021",102.57374,
"JPN","GDPHRWKD","TOT","IDX2015","A","2000",84.551607,
"JPN","GDPHRWKD","TOT","IDX2015","A","2001",85.787788,
"JPN","GDPHRWKD","TOT","IDX2015","A","2002",87.330092,
"JPN","GDPHRWKD","TOT","IDX2015","A","2003",88.611666,
"JPN","GDPHRWKD","TOT","IDX2015","A","2004",90.699921,
"JPN","GDPHRWKD","TOT","IDX2015","A","2005",92.061661,
"JPN","GDPHRWKD","TOT","IDX2015","A","2006",92.207632,
"JPN","GDPHRWKD","TOT","IDX2015","A","2007",92.880964,
"JPN","GDPHRWKD","TOT","IDX2015","A","2008",92.579761,
"JPN","GDPHRWKD","TOT","IDX2015","A","2009",91.307584,
"JPN","GDPHRWKD","TOT","IDX2015","A","2010",94.108856,
"JPN","GDPHRWKD","TOT","IDX2015","A","2011",94.686142,
"JPN","GDPHRWKD","TOT","IDX2015","A","2012",95.727548,
"JPN","GDPHRWKD","TOT","IDX2015","A","2013",97.894686,
"JPN","GDPHRWKD","TOT","IDX2015","A","2014",98.02656,
"JPN","GDPHRWKD","TOT","IDX2015","A","2015",100,
"JPN","GDPHRWKD","TOT","IDX2015","A","2016",100.144242,
"JPN","GDPHRWKD","TOT","IDX2015","A","2017",101.057367,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.582134,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",102.659468,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",101.361752,
"JPN","GDPHRWKD","TOT","IDX2015","A","2021",102.430048,"E"
"GBR","GDPHRWKD","TOT","IDX2015","A","2000",87.623554,
